text,created
@russotalks Did you know a small hurricane is coming here too? Or some tropical depression or something I don't kno… https://t.co/GdfyDz5luK,9/7/2017 20:37
"@Mikel_Jollett Also, which ""same week"" are you referring too? Because Irma formed 9 DAYS after Harvey was in the Gu… https://t.co/UVoBwI3NB1",9/7/2017 12:13
RT @BostonJerry: Harvey went from tropical depression to Category 4 in three days bc the water in the Gulf of Mexico was 86 degrees. That's…,9/7/2017 5:05
@CNN My experience going through 2 hurricanes and a stagnant tropical depression in Houston (NOT inc Harvey): FIVE… https://t.co/k2nYWvl8Qm,9/7/2017 3:51
RT @DeeJones_: 1st Harvey formed and did damage then Irma started to form and Jose is right behind Irma as a tropical depression,9/7/2017 3:27
RT @DeeJones_: 1st Harvey formed and did damage then Irma started to form and Jose is right behind Irma as a tropical depression,9/7/2017 3:17
1st Harvey formed and did damage then Irma started to form and Jose is right behind Irma as a tropical depression,9/7/2017 3:09
Harvey Soaks Southern Crops: Louisiana farmers took the brunt of the rain and crop damage. https://t.co/Pixe07Ro42,9/7/2017 1:30
"@KadaburaDraws Good luck! I've got Harvey overhead here as a tropical depression, and it's still a pain",9/7/2017 1:22
"Nashville, TN Tropical Depression Harvey Flooding Closes I40 - 8/31/2017 https://t.co/LCH7OGXF2L https://t.co/fFTC1MRfeO",9/7/2017 0:47
"NEWS UPDATE
Tropical Depression Harvey

The death toll across the affected areas has risen to at least 70 - it coul… https://t.co/x8STRyjvaD",9/6/2017 22:18
RT @JointOceanCI: Tropical depression to Category 4 in 48 hours: the science behind #HurricaneHarvey’s rapid intensification https://t.co/w…,9/6/2017 21:44
Tropical depression to Category 4 in 48 hours: the science behind #HurricaneHarvey’s rapid intensification https://t.co/wsMlokR8Bn,9/6/2017 20:56
"Hurricane Harvey

Texas under water

Hurricane Irma

Tropical storm Jose

Tropical depression katia 

DACA

California on fire 

TBC...",9/6/2017 19:28
House approves first installment of Hurricane Harvey disaster aid https://t.co/cVFUWc6JVC via @usatoday,9/6/2017 18:42
@LeoHirsbrunner @Hesiod2k11 So the Tropical Depression in the Gulf got upgraded and got a name...that's where Harvey was born too.,9/6/2017 18:25
